Question,Products_name
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""песто"",""цыпленок"",""брынза"",""альфредо""","[""Додо Large"",""Песто Large""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""песто"",""цыпленок"",""брынза"",""альфредо""","[""Додо Medium"",""Песто Medium""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""песто"",""цыпленок"",""брынза"",""альфредо""","[""Додо Small"",""Песто Small""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""пикантная пепперони"",""ветчина"",""кубики брынзы"",""итальянские травы""","[""Додо Medium"",""Четыре сезона  Medium""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""пикантная пепперони"",""увеличенная порция моцареллы""","[""Додо Medium"",""Пепперони Medium""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Нежный цыпленок"",""Митболы"",""Острая чоризо"",""Соус Бургер""","[""Додо Large"",""Супермясной Додстер""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Нежный цыпленок"",""Митболы"",""Острая чоризо"",""Соус Бургер""","[""Додо Medium"",""Супермясной Додстер""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Нежный цыпленок"",""Митболы"",""Острая чоризо"",""Соус Бургер""","[""Додо Small"",""Супермясной Додстер""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Острый халапеньо"",""Нежный цыпленок"",""Свежие томаты"",""Маринованные огурчики"",""Соус барбекю""","[""Додо Large"",""Острый Додстер""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Острый халапеньо"",""Нежный цыпленок"",""Свежие томаты"",""Маринованные огурчики"",""Соус барбекю""","[""Додо Medium"",""Острый Додстер""]"
