id,type,name,size,price
1,Веган,Фермерская,S,500
2,Птица,Маргарита,L,750
3,Морепродукты,Фермерская,S,600
4,Мясо,С ананасами,L,750
5,Веган,Золотая рыбка,M,625
6,Птица,Золотая рыбка,S,500
7,Веган,Фермерская,L,750
8,Птица,4 сыра,S,500
9,Мясо,Золотая рыбка,S,500
10,Мясо,Крабы,S,500
11,Морепродукты,Фермерская,S,600
12,Мясо,Фермерская,M,625
13,Мясо,С ананасами,L,750
14,Веган,Маргарита,M,625
15,Морепродукты,Маргарита,M,750
16,Морепродукты,Фермерская,S,600
17,Веган,Крабы,M,625
18,Морепродукты,Фермерская,M,750
19,Мясо,Золотая рыбка,M,625
20,Морепродукты,Маргарита,S,600
21,Веган,4 сыра,M,625
22,Морепродукты,Золотая рыбка,M,750
23,Морепродукты,Ранч,S,600
24,Морепродукты,Фермерская,M,750
25,Птица,Фермерская,L,750
26,Морепродукты,Краб+Кальмар,L,900
27,Веган,Фермерская,S,500
28,Морепродукты,Краб+Кальмар,M,750
29,Птица,Крабы,S,500
30,Мясо,4 сыра,M,625
31,Птица,Фермерская,S,500
32,Птица,Фермерская,L,750
33,Морепродукты,С ананасами,M,750
34,Мясо,Ранч,L,750
35,Мясо,Маргарита,L,750
36,Мясо,Фермерская,M,625
37,Морепродукты,Ранч,S,600
38,Птица,4 сыра,L,750
39,Мясо,4 сыра,S,500
40,Веган,Фермерская,M,625
41,Мясо,4 сыра,M,625
42,Веган,Фермерская,M,625
43,Мясо,Фермерская,L,750
44,Веган,Крабы,L,750
45,Морепродукты,Маргарита,L,900
46,Веган,4 сыра,L,750
47,Мясо,Фермерская,S,500
48,Птица,Маргарита,M,625
49,Птица,Краб+Кальмар,L,750
50,Морепродукты,Золотая рыбка,L,900
51,Веган,Краб+Кальмар,L,750
52,Птица,Крабы,L,750
53,Морепродукты,Фермерская,S,600
54,Веган,Фермерская,S,500
55,Птица,Фермерская,L,750
56,Веган,Маргарита,L,750
57,Птица,4 сыра,L,750
58,Веган,Краб+Кальмар,L,750
59,Веган,С ананасами,M,625
60,Веган,Фермерская,L,750
61,Птица,4 сыра,L,750
62,Мясо,Маргарита,L,750
63,Мясо,Золотая рыбка,L,750
64,Веган,С ананасами,M,625
65,Птица,Краб+Кальмар,M,625
66,Веган,Краб+Кальмар,L,750
67,Мясо,Краб+Кальмар,L,750
68,Веган,4 сыра,M,625
69,Мясо,Ранч,M,625
70,Веган,Золотая рыбка,M,625
71,Морепродукты,Ранч,M,750
72,Мясо,Краб+Кальмар,L,750
73,Мясо,Фермерская,M,625
74,Веган,Фермерская,M,625
75,Морепродукты,Золотая рыбка,S,600
76,Веган,Золотая рыбка,S,500
77,Морепродукты,4 сыра,M,750
78,Морепродукты,Ранч,S,600
79,Морепродукты,Фермерская,M,750
80,Веган,Краб+Кальмар,M,625
81,Веган,Золотая рыбка,S,500
82,Мясо,Краб+Кальмар,M,625
83,Веган,4 сыра,S,500
84,Мясо,С ананасами,M,625
85,Птица,Краб+Кальмар,M,625
86,Морепродукты,4 сыра,L,900
87,Морепродукты,Краб+Кальмар,L,900
88,Мясо,Маргарита,S,500
89,Птица,Крабы,M,625
90,Птица,Фермерская,S,500
91,Морепродукты,Фермерская,M,750
92,Веган,Маргарита,S,500
93,Морепродукты,Маргарита,M,750
94,Мясо,Крабы,S,500
95,Мясо,Крабы,S,500
96,Морепродукты,Краб+Кальмар,M,750
97,Веган,Фермерская,S,500
98,Мясо,С ананасами,M,625
99,Веган,Фермерская,S,500
100,Морепродукты,С ананасами,M,750
101,Морепродукты,Маргарита,L,900
102,Веган,Крабы,L,750
103,Морепродукты,Краб+Кальмар,M,750
104,Птица,Крабы,S,500
105,Мясо,Крабы,L,750
106,Морепродукты,Краб+Кальмар,L,900
107,Веган,4 сыра,M,625
108,Веган,Ранч,S,500
109,Веган,4 сыра,M,625
110,Мясо,Фермерская,L,750
111,Птица,Маргарита,L,750
112,Морепродукты,Фермерская,M,750
113,Птица,Крабы,S,500
114,Птица,Маргарита,S,500
115,Веган,Ранч,S,500
116,Птица,С ананасами,M,625
117,Веган,С ананасами,L,750
118,Птица,4 сыра,L,750
119,Морепродукты,Краб+Кальмар,L,900
120,Мясо,Фермерская,M,625
121,Птица,Крабы,S,500
122,Веган,Золотая рыбка,S,500
123,Веган,Маргарита,M,625
124,Морепродукты,Золотая рыбка,L,900
125,Птица,Крабы,S,500
126,Мясо,4 сыра,L,750
127,Птица,С ананасами,S,500
128,Мясо,Крабы,M,625
129,Веган,С ананасами,S,500
130,Веган,Фермерская,L,750
131,Птица,Ранч,M,625
132,Птица,4 сыра,M,625
133,Птица,Золотая рыбка,M,625
134,Веган,С ананасами,L,750
135,Морепродукты,Краб+Кальмар,M,750
136,Веган,Краб+Кальмар,M,625
137,Птица,4 сыра,L,750
138,Птица,Маргарита,M,625
139,Веган,С ананасами,M,625
140,Веган,Ранч,M,625
141,Веган,Маргарита,M,625
142,Мясо,Фермерская,L,750
143,Мясо,4 сыра,S,500
144,Мясо,Золотая рыбка,M,625
145,Морепродукты,Золотая рыбка,L,900
146,Мясо,Фермерская,S,500
147,Птица,Фермерская,M,625
148,Морепродукты,Фермерская,M,750
149,Морепродукты,С ананасами,M,750
150,Морепродукты,Маргарита,S,600
